EmployeeID,Age,Gender,Country,Department,JobLevel,YearsAtCompany,MonthlyIncome,NumProjects,LastEvaluationScore,SatisfactionLevel,AvgWorkHoursPerWeek,PromotedLast5Years,HasMentor,RemoteWork,TrainingHours,Certifications,LeavesTaken,FeedbackScore,Attrition
1,50.0,Female,UK,Development,Junior,19,124815.0,7,0.44,2,54,1,1,1,9,3,21,4.4,0
2,36.0,Other,UK,Support,Mid,4,49908.0,6,0.76,2,52,0,0,1,67,1,5,1.4,0
3,29.0,Male,USA,Sales,Mid,4,115651.0,9,0.81,4,43,0,1,0,98,0,3,4.3,0
4,42.0,Male,Canada,Marketing,Senior,3,36728.0,8,0.66,1,57,1,1,1,14,0,18,4.7,1
5,40.0,Female,UK,Support,Junior,17,37855.0,9,0.89,2,41,1,1,0,58,0,21,1.8,1
6,44.0,Female,Germany,Support,Lead,13,120828.0,1,0.82,1,35,1,1,1,14,2,8,3.2,0
7,,Other,Canada,Support,Mid,3,75200.0,4,0.45,3,43,0,1,1,0,2,14,1.9,0
8,32.0,Female,India,HR,Junior,17,,5,0.89,1,55,1,1,1,34,0,27,1.5,0
9,45.0,Male,USA,Support,Mid,11,126853.0,8,0.61,1,52,1,0,0,7,1,22,4.7,0
10,57.0,Male,USA,Support,Junior,16,118912.0,2,0.68,4,51,0,1,1,39,2,24,2.8,0
11,45.0,Other,Germany,Support,Senior,14,58461.0,3,0.59,3,57,0,1,1,57,3,17,2.5,0
12,24.0,Male,Germany,Support,Mid,5,119199.0,4,0.92,4,41,1,0,1,28,1,3,3.5,0
13,43.0,Female,India,HR,Senior,14,143701.0,6,0.63,3,38,1,1,0,35,1,21,3.1,0
14,23.0,Other,India,Development,Lead,16,59059.0,8,0.96,4,46,0,0,0,62,2,15,1.7,0
15,45.0,Other,UK,HR,Lead,16,135323.0,5,0.93,5,54,1,0,1,50,3,21,4.9,1
16,51.0,Other,Canada,Support,Senior,15,51535.0,9,0.73,4,37,1,1,0,53,3,16,3.7,0
17,59.0,Female,USA,Development,Senior,13,34656.0,6,0.6,5,51,0,0,1,40,3,5,4.9,0
18,,Other,UK,HR,Junior,0,39714.0,2,0.43,5,45,0,1,1,82,2,8,4.5,0
19,42.0,Other,India,Sales,Junior,2,74574.0,6,,2,40,1,0,0,91,4,20,4.8,1
20,54.0,Male,Germany,Sales,Senior,14,82801.0,6,0.91,4,49,1,1,1,7,3,10,2.8,0
21,33.0,Male,UK,Support,Lead,16,125264.0,4,0.77,4,46,1,0,0,25,4,13,2.0,0
22,43.0,Other,Germany,Support,Junior,11,85782.0,9,0.57,4,41,1,0,0,34,4,29,4.7,1
23,46.0,Female,Canada,Marketing,Senior,16,31044.0,4,0.51,4,53,1,1,0,57,4,0,4.7,0
24,48.0,Female,Germany,Sales,Lead,10,135573.0,6,0.44,1,51,0,0,1,31,4,7,2.7,0
25,49.0,Female,USA,Development,Junior,4,122380.0,7,0.65,4,50,1,0,1,89,2,6,4.7,0
26,37.0,Female,Canada,Development,Junior,14,93123.0,1,0.61,2,58,1,1,0,52,1,29,2.1,0
27,36.0,Male,Germany,Marketing,Mid,12,139041.0,1,0.66,3,41,0,0,0,10,3,23,3.0,0
28,24.0,Female,UK,Sales,Lead,8,70855.0,1,0.7,5,41,1,0,0,56,3,29,4.2,0
29,58.0,Female,USA,HR,Mid,17,142649.0,9,0.79,5,53,1,0,0,42,4,9,4.7,1
30,28.0,Other,USA,HR,Senior,12,55031.0,4,0.6,1,45,1,1,1,66,1,5,3.8,0
31,42.0,Female,India,Development,Mid,2,58394.0,4,0.42,3,41,0,1,0,8,2,12,2.3,0
32,30.0,Female,India,HR,Junior,1,142381.0,6,0.68,4,55,0,0,0,94,1,6,1.6,0
33,39.0,Female,UK,Support,Junior,19,142340.0,5,0.73,5,42,0,1,0,97,0,1,1.9,0
34,25.0,Female,India,Support,Junior,1,138012.0,3,0.54,2,52,1,1,1,73,3,9,3.9,0
35,46.0,Male,Germany,Marketing,Junior,0,56677.0,8,0.59,1,53,0,0,0,28,4,7,4.4,0
36,35.0,Other,India,HR,Mid,4,53829.0,1,0.83,4,36,0,1,1,23,1,25,2.4,1
37,30.0,Male,USA,Marketing,Junior,1,133757.0,5,0.65,3,49,1,1,0,7,2,16,4.3,1
38,47.0,Other,UK,Sales,Junior,9,70818.0,5,0.67,2,35,1,0,0,39,2,18,1.7,0
39,23.0,Other,Germany,HR,Junior,12,34595.0,1,,5,37,0,1,1,82,1,10,3.2,1
40,41.0,Other,USA,Development,Junior,15,32590.0,7,0.85,5,53,0,1,1,33,3,13,2.7,0
41,49.0,Other,USA,Development,Senior,12,60584.0,5,0.72,4,50,0,0,0,45,4,12,1.0,0
42,28.0,Male,Canada,Sales,Lead,4,112524.0,9,0.79,5,40,1,0,1,95,4,3,4.8,0
43,29.0,Other,India,Support,Lead,13,92989.0,1,0.89,3,58,1,1,1,62,0,22,3.5,0
44,56.0,Female,Germany,Support,Lead,17,86305.0,4,0.48,2,36,0,0,1,38,3,22,3.4,1
45,35.0,Female,UK,Support,Mid,18,133441.0,6,0.5,5,52,0,0,1,19,3,23,4.7,1
46,38.0,Other,UK,HR,Lead,10,47127.0,2,0.78,4,50,0,1,1,38,0,1,2.4,0
47,57.0,Female,UK,Marketing,Lead,6,103788.0,6,0.98,4,49,0,0,0,68,3,28,2.2,1
48,25.0,Female,Canada,Sales,Senior,8,119350.0,1,0.41,3,51,0,1,1,97,2,4,4.9,0
49,23.0,Other,Germany,HR,Junior,17,37821.0,7,0.58,2,46,1,1,0,22,0,25,4.7,0
50,27.0,Other,USA,Development,Lead,8,82659.0,8,0.57,5,47,0,0,1,29,0,13,5.0,0
51,25.0,Other,Canada,Marketing,Junior,14,83871.0,9,0.49,4,35,1,1,0,28,4,5,1.6,0
52,50.0,Male,India,Marketing,Junior,8,56287.0,9,0.7,2,40,0,0,1,12,2,12,4.9,1
